rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
21/10/2022 12:24,202208,HEATHROW,50222415,182331150,11983413,38225009
21/10/2022 12:24,202208,GATWICK,25243788,182331150,3532323,38225009
21/10/2022 12:24,202208,STANSTED,19434247,182331150,4021557,38225009
21/10/2022 12:24,202208,MANCHESTER,19215574,182331150,3457078,38225009
21/10/2022 12:24,202208,LUTON,11250533,182331150,3251592,38225009
21/10/2022 12:24,202208,EDINBURGH,9151556,182331150,1611463,38225009
21/10/2022 12:24,202208,BIRMINGHAM,7850077,182331150,1333756,38225009
21/10/2022 12:24,202208,BRISTOL,6697609,182331150,1086200,38225009
21/10/2022 12:24,202208,GLASGOW,5569273,182331150,1120607,38225009
21/10/2022 12:24,202208,BELFAST INTERNATIONAL,4570469,182331150,1457623,38225009
21/10/2022 12:24,202208,NEWCASTLE,3402111,182331150,528849,38225009
21/10/2022 12:24,202208,LIVERPOOL (JOHN LENNON),2997170,182331150,696562,38225009
21/10/2022 12:24,202208,EAST MIDLANDS INTERNATIONAL,2730993,182331150,457876,38225009
21/10/2022 12:24,202208,LEEDS BRADFORD,2703433,182331150,374051,38225009
21/10/2022 12:24,202208,LONDON CITY,2376391,182331150,281978,38225009
21/10/2022 12:24,202208,ABERDEEN,1746231,182331150,833985,38225009
21/10/2022 12:24,202208,BELFAST CITY (GEORGE BEST),1383777,182331150,542684,38225009
21/10/2022 12:24,202208,DONCASTER SHEFFIELD,921811,182331150,201979,38225009
21/10/2022 12:24,202208,CARDIFF WALES,676123,182331150,63046,38225009
21/10/2022 12:24,202208,INVERNESS,648278,182331150,221100,38225009
21/10/2022 12:24,202208,BOURNEMOUTH,634601,182331150,97018,38225009
21/10/2022 12:24,202208,SOUTHAMPTON,548015,182331150,148082,38225009
21/10/2022 12:24,202208,PRESTWICK,361706,182331150,41728,38225009
21/10/2022 12:24,202208,EXETER,334535,182331150,65448,38225009
21/10/2022 12:24,202208,NORWICH,259145,182331150,103026,38225009
21/10/2022 12:24,202208,SUMBURGH,239164,182331150,154013,38225009
21/10/2022 12:24,202208,NEWQUAY,201092,182331150,80684,38225009
21/10/2022 12:24,202208,TEESSIDE INTERNATIONAL AIRPORT,147440,182331150,44124,38225009
21/10/2022 12:24,202208,CITY OF DERRY (EGLINTON),144601,182331150,60134,38225009
21/10/2022 12:24,202208,KIRKWALL,116364,182331150,58172,38225009
21/10/2022 12:24,202208,SOUTHEND,109043,182331150,68202,38225009
21/10/2022 12:24,202208,STORNOWAY,94582,182331150,42862,38225009
21/10/2022 12:24,202208,ISLES OF SCILLY (ST.MARYS),86317,182331150,67591,38225009
21/10/2022 12:24,202208,HUMBERSIDE,70884,182331150,23431,38225009
21/10/2022 12:24,202208,LANDS END (ST JUST),63774,182331150,49584,38225009
21/10/2022 12:24,202208,DUNDEE,33459,182331150,12500,38225009
21/10/2022 12:24,202208,BENBECULA,28039,182331150,15432,38225009
21/10/2022 12:24,202208,ISLAY,23517,182331150,8825,38225009
21/10/2022 12:24,202208,BARRA,12689,182331150,8642,38225009
21/10/2022 12:24,202208,TIREE,10959,182331150,7046,38225009
21/10/2022 12:24,202208,CAMPBELTOWN,4748,182331150,2784,38225009
21/10/2022 12:24,202208,BLACKPOOL,3967,182331150,2978,38225009
21/10/2022 12:24,202208,BIGGIN HILL,3797,182331150,2242,38225009
21/10/2022 12:24,202208,WICK JOHN O GROATS,3676,182331150,0,38225009
21/10/2022 12:24,202208,LERWICK (TINGWALL),3007,182331150,1993,38225009
21/10/2022 12:24,202208,OXFORD (KIDLINGTON),170,182331150,710,38225009
21/10/2022 12:24,202208,GLOUCESTERSHIRE,0,182331150,5,38225009
21/10/2022 12:24,202208,LYDD,0,182331150,31,38225009

